Country,Code,Population with at least secondary education (%),Employment rate (%),Unemploy-ment rate (%),Household disposable income per capita (constant USD PPP (refer. year 2015)),Homicide rate (per 100-000 people),Mortality rate (per 1-000 people),Life expectancy (Number of years),Air pollution (level of PM2.5) (µg/m³),Voter turnout (%),Broadband access (% of households),Internet download speed 2021-Q4 (deviation from OECD average (%)),Number of rooms per person,Perceived social network support ,Self assessment of life satisfaction
Australia,AUS,84.8,75.0,5.3,29783.0,0.9,5.56,82.9,8.3,91.89,86.1,-44.6728415817577,2.3,93.5,7.2
Austria,AUT,85.9,72.4,6.3,25698.0,0.5,7.45,81.3,11.0,75.6,91.0,-43.2124887551465,1.8,91.0,7.2
Belgium,BEL,81.5,65.3,6.3,23698.0,1.2,7.34,80.8,11.3,89.74,92.0,-11.526357422276,2.1,90.5,6.9
Canada,CAN,92.4,73.2,7.4,25906.0,2.1,7.04,82.3,6.6,77.0,91.0,22.9376966258674,2.5,92.5,7.1
Chile,CHL,72.0,58.4,9.1,8057.0,3.3,5.46,81.0,24.2,46.7,75.2,61.445493129345095,1.3,87.8,6.2
Colombia,COL,58.8,55.7,16.3,7724.958,25.5,7.3,76.8,14.2,60.4,41.9,-43.0103559281146,1.0,84.4,5.9
Costa Rica,CRI,40.4,54.7,16.7,9338.0,11.4,4.48,,14.3,65.7,81.3766746925479,-54.8672526404896,1.02,87.7,6.8
Czech Republic,CZE,94.4,74.4,2.9,17938.0,1.2,10.76,78.3,14.3,60.8,89.0,-46.0051695398531,1.5,92.7,6.9
Denmark,DNK,82.1,75.5,5.2,20595.0,0.8,7.62,81.6,9.1,83.7,92.0,36.6563307085018,1.9,95.1,7.6
Estonia,EST,89.5,74.0,6.5,16220.0,2.0,8.87,78.7,6.3,63.7,91.0,-38.249015714943205,1.7,92.8,6.2
Finland,FIN,88.9,72.7,7.9,21759.0,0.6,7.23,82.0,5.0,66.76,95.0,-10.9852482968478,2.0,95.6,7.8
France,FRA,82.2,67.2,8.0,22911.0,1.3,6.91,82.3,9.6,77.8,88.0,34.634131912289604,1.8,93.0,6.7
Germany,DEU,84.8,75.8,3.7,26198.0,0.8,7.75,81.1,10.4,76.6,89.0,-18.4682804325663,1.8,88.8,7.1
Greece,GRC,79.8,57.2,15.1,15316.0,0.7,8.39,81.4,14.5,57.78,85.0,-71.476101412595,1.3,81.3,5.7
Hungary,HUN,86.3,73.1,4.1,15478.0,0.7,12.58,75.7,14.2,69.73,91.0,21.961209386533103,1.6,92.6,6.0
Iceland,ISL,,79.8,6.2,20917.0,0.9,6.69,,5.6,66.94,93.0,41.6179953673851,,97.5,7.5
Ireland,IRL,87.5,69.8,6.5,22229.0,0.7,6.96,82.6,8.1,62.9,93.0,-12.3581817510121,2.1,92.6,7.0
Israel,ISR,79.57911363532685,66.8,4.5,12780.0,1.5,6.7,82.9,18.7,68.46,74.3,23.2649555437105,1.2,92.3,7.2
Italy,ITA,62.7,58.2,9.8,20829.0,0.5,7.01,82.9,14.4,72.94,88.5,-26.6123359257748,1.4,88.6,6.4
Japan,JPN,,77.2,3.0,22951.0,0.7,5.6,83.9,12.9,55.97,71.7,16.1648868763074,1.89,88.2,6.0
Korea,KOR,93.599,65.4,3.6,20888.0,1.2,5.69,83.5,25.9,66.2,99.9,35.879781781078,1.6,79.4,5.9
Latvia,LVA,92.2,69.9,7.9,13920.0,3.2,12.9,75.5,12.4,54.58,89.0,-20.8815283647297,1.2,90.2,6.1
Lithuania,LTU,94.895,72.5,7.1,18939.0,2.5,12.3,75.1,9.3,47.8,86.0,-16.434474505250602,1.6,87.5,6.4
Luxembourg,LUX,80.3,69.4,5.3,34698.0,0.3,7.0,82.2,8.7,89.7,97.0,22.2425645579969,2.0,90.1,7.2
Mexico,MEX,41.6,57.9,4.3,3829.0,28.5,9.92,75.4,15.1,,75.6265047635632,-64.03717982364509,1.0,80.9,6.3
Netherlands,NLD,80.6,80.1,4.4,22213.0,0.9,7.74,81.4,10.9,81.6,99.0,10.8964594474017,2.1,93.4,7.4
New Zealand,NZL,80.9,75.8,4.3,20805.0,0.9,10.06,81.7,6.5,79.01,75.0,12.0898096627312,2.169,94.7,7.3
Norway,NOR,82.5,76.3,4.6,24548.0,0.5,6.8,83.2,6.0,77.1,99.0,18.4575170564168,2.3,94.9,7.4
Poland,POL,93.2,70.3,3.4,17415.0,1.4,11.71,76.5,18.0,61.7,92.0,7.25674094351105,1.2,87.7,6.1
Portugal,PRT,59.5,70.1,6.8,17975.0,0.8,7.83,81.1,8.3,48.57,84.0,7.4709907214564,1.7,88.3,5.9
Slovak Republic,SVK,93.3,69.4,6.9,16925.0,1.0,12.73,77.0,15.5,65.81,90.0,-27.7839375180912,1.2,91.9,6.4
Slovenia,SVN,91.3,71.4,4.8,18734.0,0.3,8.5,80.6,14.4,52.64,93.0,-31.6500929884741,1.6,94.3,6.5
Spain,ESP,63.9,62.7,15.0,20168.0,0.6,6.77,82.4,9.8,69.9,96.0,30.6325886449269,2.0,92.2,6.4
Sweden,SWE,87.5,75.4,9.2,22636.0,1.1,6.44,83.2,5.7,87.1,91.0,13.8071429236216,1.8,92.7,7.4
Switzerland,CHE,87.4,79.3,5.3,59315.0,0.5,6.24,83.1,9.2,45.12,98.0,42.433090990250896,1.8,93.7,7.5
Türkiye,TUR,40.7,50.2,12.2,6635.0,7.3,8.96,78.6,22.6,85.23,88.0,-71.2467387091952,1.0,80.9,5.0
United Kingdom,GBR,81.6,74.9,4.5,25047.0,0.9,8.25,81.3,9.8,67.5,96.0,-21.0906950074154,1.9,91.5,7.0
United States,USA,90.8,69.6,5.4,46795.0,6.5,10.97,78.8,7.8,66.8,86.4,46.0525586743404,2.39,91.9,7.0
